FunctionAn,Category,Function,Gene.abbreviation,Corresponding.KO
Function316,Central carbohydrate metabolism,M00001+01,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",(K00844 or K12407 or K00845 or K25026 or K00886 or K08074 or K00918)
Function317,Central carbohydrate metabolism,M00001+02,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",(K01810 or K06859 or K13810 or K15916)
Function318,Central carbohydrate metabolism,M00001+03,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",(K00850 or K16370 or K21071 or K00918)
Function319,Central carbohydrate metabolism,M00001+04,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",(K01623 or K01624 or K11645 or K16305 or K16306)
Function320,Central carbohydrate metabolism,M00001+05,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",K01803
Function321,Central carbohydrate metabolism,M00001+06,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",((K00134 or K00150) and K00927 or K11389)
Function322,Central carbohydrate metabolism,M00001+07,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",(K01834 or K15633 or K15634 or K15635)
Function323,Central carbohydrate metabolism,M00001+08,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",K01689
Function324,Central carbohydrate metabolism,M00001+09,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",(K00873 or K12406)
Function325,Central carbohydrate metabolism,M00002+01,"Glycolysis, core module involving three-carbon compounds",K01803
Function326,Central carbohydrate metabolism,M00002+02,"Glycolysis, core module involving three-carbon compounds",((K00134 or K00150) and K00927 or K11389)
Function327,Central carbohydrate metabolism,M00002+03,"Glycolysis, core module involving three-carbon compounds",(K01834 or K15633 or K15634 or K15635)
Function328,Central carbohydrate metabolism,M00002+04,"Glycolysis, core module involving three-carbon compounds",K01689
Function329,Central carbohydrate metabolism,M00002+05,"Glycolysis, core module involving three-carbon compounds",(K00873 or K12406)
Function330,Central carbohydrate metabolism,M00003+01,"Gluconeogenesis, oxaloacetate => fructose-6P",(K01596 or K01610)
Function331,Central carbohydrate metabolism,M00003+02,"Gluconeogenesis, oxaloacetate => fructose-6P",K01689
Function332,Central carbohydrate metabolism,M00003+03,"Gluconeogenesis, oxaloacetate => fructose-6P",(K01834 or K15633 or K15634 or K15635)
Function333,Central carbohydrate metabolism,M00003+04,"Gluconeogenesis, oxaloacetate => fructose-6P",K00927
Function334,Central carbohydrate metabolism,M00003+05,"Gluconeogenesis, oxaloacetate => fructose-6P",(K00134 or K00150)
Function335,Central carbohydrate metabolism,M00003+06,"Gluconeogenesis, oxaloacetate => fructose-6P",K01803
Function336,Central carbohydrate metabolism,M00003+07,"Gluconeogenesis, oxaloacetate => fructose-6P",((K01623 or K01624 or K11645) and (K03841 or K02446 or K11532 or K01086 or K04041) or K01622)
Function337,Central carbohydrate metabolism,M00004+01,Pentose phosphate pathway (Pentose phosphate cycle),(K13937 or ((K00036 or K19243) and (K01057 or K07404)))
Function338,Central carbohydrate metabolism,M00004+02,Pentose phosphate pathway (Pentose phosphate cycle),K00033
Function339,Central carbohydrate metabolism,M00004+03,Pentose phosphate pathway (Pentose phosphate cycle),K01783
Function340,Central carbohydrate metabolism,M00004+04,Pentose phosphate pathway (Pentose phosphate cycle),(K01807 or K01808)
Function341,Central carbohydrate metabolism,M00004+05,Pentose phosphate pathway (Pentose phosphate cycle),K00615
Function342,Central carbohydrate metabolism,M00004+06,Pentose phosphate pathway (Pentose phosphate cycle),((K00616 and (K01810 or K06859 or K15916)) or K13810)
Function343,Central carbohydrate metabolism,M00005+01,"PRPP biosynthesis, ribose 5P => PRPP",K00948
Function344,Central carbohydrate metabolism,M00006+01,"Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P",(K13937 or ((K00036 or K19243) and (K01057 or K07404)))
Function345,Central carbohydrate metabolism,M00006+02,"Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P",K00033
Function346,Central carbohydrate metabolism,M00007+01,"Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P",K00615
Function347,Central carbohydrate metabolism,M00007+02,"Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P",(K00616 or K13810)
Function348,Central carbohydrate metabolism,M00007+03,"Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P",K01783
Function349,Central carbohydrate metabolism,M00007+04,"Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P",(K01807 or K01808)
Function350,Central carbohydrate metabolism,M00008+01,"Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate",K00036
Function351,Central carbohydrate metabolism,M00008+02,"Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate",(K01057 or K07404)
Function352,Central carbohydrate metabolism,M00008+03,"Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate",K01690
Function353,Central carbohydrate metabolism,M00008+04,"Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate",K01625
Function354,Central carbohydrate metabolism,M00009+01,"Citrate cycle (TCA cycle, Krebs cycle)",(K01647 or K05942)
Function355,Central carbohydrate metabolism,M00009+02,"Citrate cycle (TCA cycle, Krebs cycle)",(K01681 or K01682)
Function356,Central carbohydrate metabolism,M00009+03,"Citrate cycle (TCA cycle, Krebs cycle)",(K00031 or K00030)
Function357,Central carbohydrate metabolism,M00009+04,"Citrate cycle (TCA cycle, Krebs cycle)",((K00164 and K00658 or K01616) and K00382 or K00174 and K00175)
Function358,Central carbohydrate metabolism,M00009+05,"Citrate cycle (TCA cycle, Krebs cycle)",(K01902 and K01903 or K01899 and K01900 or K18118)
Function359,Central carbohydrate metabolism,M00009+06,"Citrate cycle (TCA cycle, Krebs cycle)",(K00234 and K00235 and K00236 and (K00237 or K25801) or K00239 and K00240 and K00241-(K00242 or K18859 or K18860) or K00244 and K00245 and K00246)
Function360,Central carbohydrate metabolism,M00009+07,"Citrate cycle (TCA cycle, Krebs cycle)",(K01676 or K01679 or K01677 and K01678)
Function361,Central carbohydrate metabolism,M00009+08,"Citrate cycle (TCA cycle, Krebs cycle)",(K00026 or K00025 or K00024 or K00116)
Function362,Central carbohydrate metabolism,M00010+01,"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate",(K01647 or K05942)
Function363,Central carbohydrate metabolism,M00010+02,"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate",(K01681 or K01682)
Function364,Central carbohydrate metabolism,M00010+03,"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate",(K00031 or K00030)
Function365,Central carbohydrate metabolism,M00011+01,"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate",((K00164 and K00658 or K01616) and K00382 or K00174 and K00175)
Function366,Central carbohydrate metabolism,M00011+02,"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate",(K01902 and K01903 or K01899 and K01900 or K18118)
Function367,Central carbohydrate metabolism,M00011+03,"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate",(K00234 and K00235 and K00236 and (K00237 or K25801) or K00239 and K00240 and K00241-(K00242 or K18859 or K18860) or K00244 and K00245 and K00246)
Function368,Central carbohydrate metabolism,M00011+04,"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate",(K01676 or K01679 or K01677 and K01678)
Function369,Central carbohydrate metabolism,M00011+05,"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate",(K00026 or K00025 or K00024 or K00116)
Function370,Other carbohydrate metabolism,M00012+01,Glyoxylate cycle,K01647
Function371,Other carbohydrate metabolism,M00012+02,Glyoxylate cycle,(K01681 or K01682)
Function372,Other carbohydrate metabolism,M00012+03,Glyoxylate cycle,K01637
Function373,Other carbohydrate metabolism,M00012+04,Glyoxylate cycle,(K01638 or K19282)
Function374,Other carbohydrate metabolism,M00012+05,Glyoxylate cycle,(K00026 or K00025 or K00024)
Function375,Other carbohydrate metabolism,M00013+01,"Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA",(K00248 or K00232)
Function376,Other carbohydrate metabolism,M00013+02,"Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA",(K07511 or K14729)
Function377,Other carbohydrate metabolism,M00013+03,"Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA",K05605
Function378,Other carbohydrate metabolism,M00013+04,"Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA",K23146
Function379,Other carbohydrate metabolism,M00013+05,"Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA",K00140
Function380,Other carbohydrate metabolism,M00014+01,Glucuronate pathway (uronate pathway),K00012
Function381,Other carbohydrate metabolism,M00014+02,Glucuronate pathway (uronate pathway),((K12447 and K16190) or (K00699 and (K01195 or K14756)))
Function382,Other carbohydrate metabolism,M00014+03,Glucuronate pathway (uronate pathway),K00002
Function383,Other carbohydrate metabolism,M00014+04,Glucuronate pathway (uronate pathway),K13247
Function384,Other carbohydrate metabolism,M00014+05,Glucuronate pathway (uronate pathway),K03331
Function385,Other carbohydrate metabolism,M00014+06,Glucuronate pathway (uronate pathway),(K05351 or K00008)
Function386,Other carbohydrate metabolism,M00014+07,Glucuronate pathway (uronate pathway),K00854
Function387,Arginine and proline metabolism,M00015+01,"Proline biosynthesis, glutamate => proline",((K00931 and K00147) or K12657)
Function388,Arginine and proline metabolism,M00015+02,"Proline biosynthesis, glutamate => proline",K00286
Function389,Lysine metabolism,M00016+01,"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine",(K00928 or K12524 or K12525 or K12526)
Function390,Lysine metabolism,M00016+02,"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine",K00133
Function391,Lysine metabolism,M00016+03,"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine",K01714
Function392,Lysine metabolism,M00016+04,"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine",K00215
Function393,Lysine metabolism,M00016+05,"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine",K00674
Function394,Lysine metabolism,M00016+06,"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine",(K00821 or K14267)
Function395,Lysine metabolism,M00016+07,"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine",K01439
Function396,Lysine metabolism,M00016+08,"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine",K01778
Function397,Lysine metabolism,M00016+09,"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine",(K01586 or K12526)
Function398,Cysteine and methionine metabolism,M00017+01,"Methionine biosynthesis, aspartate => homoserine => methionine",(K00928 or K12524 or K12525)
Function399,Cysteine and methionine metabolism,M00017+02,"Methionine biosynthesis, aspartate => homoserine => methionine",K00133
Function400,Cysteine and methionine metabolism,M00017+03,"Methionine biosynthesis, aspartate => homoserine => methionine",(K00003 or K12524 or K12525)
Function401,Cysteine and methionine metabolism,M00017+04,"Methionine biosynthesis, aspartate => homoserine => methionine",(K00651 or K00641)
Function402,Cysteine and methionine metabolism,M00017+05,"Methionine biosynthesis, aspartate => homoserine => methionine",K01739
Function403,Cysteine and methionine metabolism,M00017+06,"Methionine biosynthesis, aspartate => homoserine => methionine",(K01760 or K14155)
Function404,Cysteine and methionine metabolism,M00017+07,"Methionine biosynthesis, aspartate => homoserine => methionine",(K00548 or K24042 or K00549)
Function405,Serine and threonine metabolism,M00018+01,"Threonine biosynthesis, aspartate => homoserine => threonine",(K00928 or K12524 or K12525 or K12526)
Function406,Serine and threonine metabolism,M00018+02,"Threonine biosynthesis, aspartate => homoserine => threonine",K00133
Function407,Serine and threonine metabolism,M00018+03,"Threonine biosynthesis, aspartate => homoserine => threonine",(K00003 or K12524 or K12525)
Function408,Serine and threonine metabolism,M00018+04,"Threonine biosynthesis, aspartate => homoserine => threonine",(K00872 or K02204 or K02203)
Function409,Serine and threonine metabolism,M00018+05,"Threonine biosynthesis, aspartate => homoserine => threonine",K01733
Function410,Branched-chain amino acid metabolism,M00019+01,"Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine",K01652 and (K01653 or K11258)
Function411,Branched-chain amino acid metabolism,M00019+02,"Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine",K00053
Function412,Branched-chain amino acid metabolism,M00019+03,"Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine",K01687
Function413,Branched-chain amino acid metabolism,M00019+04,"Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine",K00826
Function414,Serine and threonine metabolism,M00020+01,"Serine biosynthesis, glycerate-3P => serine",K00058
Function415,Serine and threonine metabolism,M00020+02,"Serine biosynthesis, glycerate-3P => serine",K00831
Function416,Serine and threonine metabolism,M00020+03,"Serine biosynthesis, glycerate-3P => serine",(K01079 or K02203 or K22305 or K25528)
Function417,Cysteine and methionine metabolism,M00021+01,"Cysteine biosynthesis, serine => cysteine",(K00640 or K23304)
Function418,Cysteine and methionine metabolism,M00021+02,"Cysteine biosynthesis, serine => cysteine",(K01738 or K13034 or K17069)
Function419,Aromatic amino acid metabolism,M00022+01,"Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate",(K01626 or K03856 or K13853)
Function420,Aromatic amino acid metabolism,M00022+02,"Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate",(((K01735 or K13829) and ((K03785 or K03786) and K00014 or K13832)) or K13830)
Function421,Aromatic amino acid metabolism,M00022+03,"Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate",((K00891 or K13829) and (K00800 or K24018) or K13830)
Function422,Aromatic amino acid metabolism,M00022+04,"Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate",K01736
Function423,Aromatic amino acid metabolism,M00023+01,"Tryptophan biosynthesis, chorismate => tryptophan",(((K01657 and K01658 or K13503 or K13501 or K01656) and K00766) or K13497)
Function424,Aromatic amino acid metabolism,M00023+02,"Tryptophan biosynthesis, chorismate => tryptophan",(((K01817 or K24017) and (K01656 or K01609)) or K13498 or K13501)
Function425,Aromatic amino acid metabolism,M00023+03,"Tryptophan biosynthesis, chorismate => tryptophan",(K01695 and (K01696 or K06001) or K01694)
Function426,Aromatic amino acid metabolism,M00024+01,"Phenylalanine biosynthesis, chorismate => phenylpyruvate => phenylalanine",((K01850 or K04092 or K14187 or K04093 or K04516 or K06208 or K06209) and (K01713 or K04518 or K05359) or K14170)
Function427,Aromatic amino acid metabolism,M00024+02,"Phenylalanine biosynthesis, chorismate => phenylpyruvate => phenylalanine",(K00832 or K00838)
Function428,Aromatic amino acid metabolism,M00025+01,"Tyrosine biosynthesis, chorismate => HPP => tyrosine",(((K01850 or K04092 or K14170 or K04093 or K04516 or K06208 or K06209) and (K04517 or K00211)) or K14187)
Function429,Aromatic amino acid metabolism,M00025+02,"Tyrosine biosynthesis, chorismate => HPP => tyrosine",(K00832 or K00838)
Function430,Histidine metabolism,M00026+01,"Histidine biosynthesis, PRPP => histidine",(K00765)
Function431,Histidine metabolism,M00026+02,"Histidine biosynthesis, PRPP => histidine",(K01523 and K01496 or K11755 or K14152)
Function432,Histidine metabolism,M00026+03,"Histidine biosynthesis, PRPP => histidine",(K01814 or K24017)
Function433,Histidine metabolism,M00026+04,"Histidine biosynthesis, PRPP => histidine",(K02501 and K02500 or K01663)
Function434,Histidine metabolism,M00026+05,"Histidine biosynthesis, PRPP => histidine",((K01693 and K00817 and (K04486 or K05602 or K18649)) or (K01089 and K00817))
Function435,Histidine metabolism,M00026+06,"Histidine biosynthesis, PRPP => histidine",(K00013 or K14152)
Function436,Other amino acid metabolism,M00027+01,GABA (gamma-Aminobutyrate) shunt,K01580
Function437,Other amino acid metabolism,M00027+02,GABA (gamma-Aminobutyrate) shunt,(K13524 or K07250 or K00823 or K16871)
Function438,Other amino acid metabolism,M00027+03,GABA (gamma-Aminobutyrate) shunt,(K00135 or K00139 or K17761)
Function439,Arginine and proline metabolism,M00028+01,"Ornithine biosynthesis, glutamate => ornithine",(K00618 or K00619 or K14681 or K14682 or K00620 or K22477 or K22478)
Function440,Arginine and proline metabolism,M00028+02,"Ornithine biosynthesis, glutamate => ornithine",((K00930 or K22478) and K00145 or K12659)
Function441,Arginine and proline metabolism,M00028+03,"Ornithine biosynthesis, glutamate => ornithine",(K00818 or K00821)
Function442,Arginine and proline metabolism,M00028+04,"Ornithine biosynthesis, glutamate => ornithine",(K01438 or K14677 or K00620)
Function443,Arginine and proline metabolism,M00029+01,Urea cycle,K01948
Function444,Arginine and proline metabolism,M00029+02,Urea cycle,K00611
